Time,TPS,StockLevel,StockLevelLatency,TPMC,Delivery,DeliveryLatency,OrderStatus,OrderStatusLatency,Payment,PaymentLatency,NewOrder,NewOrderLatency,Failed
1,21.00,0,0.00,840.00,7,553.12,0,0.00,0,0.00,14,569.48,0
2,16.00,0,0.00,360.00,4,589.77,0,0.00,0,0.00,12,480.55,0
3,16.00,0,0.00,140.00,9,897.41,0,0.00,0,0.00,7,399.99,0
4,14.00,0,0.00,90.00,8,495.96,0,0.00,0,0.00,6,470.60,0
5,11.00,0,0.00,84.00,4,434.90,0,0.00,0,0.00,7,579.23,0
6,12.00,0,0.00,40.00,8,466.80,0,0.00,0,0.00,4,194.98,0
7,8.00,0,0.00,25.71,5,473.96,0,0.00,0,0.00,3,364.12,0
8,10.00,0,0.00,45.00,4,471.01,0,0.00,0,0.00,6,459.89,0
9,6.00,0,0.00,20.00,3,463.02,0,0.00,0,0.00,3,375.91,0
10,5.00,0,0.00,6.00,4,446.03,0,0.00,0,0.00,1,325.80,0
11,7.00,0,0.00,27.27,2,386.95,0,0.00,0,0.00,5,437.20,0
12,6.00,0,0.00,10.00,4,354.33,0,0.00,0,0.00,2,188.90,0
13,6.00,0,0.00,13.85,3,425.47,0,0.00,0,0.00,3,479.40,0
14,6.00,0,0.00,12.86,3,367.47,0,0.00,0,0.00,3,333.50,0
15,6.00,0,0.00,12.00,3,366.20,0,0.00,0,0.00,3,452.61,0
16,5.00,0,0.00,7.50,3,478.19,0,0.00,0,0.00,2,256.26,0
17,6.00,0,0.00,7.06,4,539.18,0,0.00,0,0.00,2,154.63,0
18,6.00,0,0.00,10.00,3,497.67,0,0.00,0,0.00,3,276.28,0
19,6.00,0,0.00,6.32,4,418.12,0,0.00,0,0.00,2,462.28,0
20,7.00,0,0.00,12.00,3,386.46,0,0.00,0,0.00,4,422.52,0
21,5.00,0,0.00,5.71,3,413.53,0,0.00,0,0.00,2,398.96,0
22,3.00,0,0.00,5.45,1,373.76,0,0.00,0,0.00,2,490.50,0
23,4.00,0,0.00,5.22,2,374.10,0,0.00,0,0.00,2,190.18,0
24,3.00,0,0.00,5.00,1,409.38,0,0.00,0,0.00,2,486.87,0
25,4.00,0,0.00,7.20,1,421.48,0,0.00,0,0.00,3,223.45,0
26,3.00,0,0.00,2.31,2,433.39,0,0.00,0,0.00,1,154.83,0
27,2.00,0,0.00,2.22,1,405.32,0,0.00,0,0.00,1,454.11,0
