Time,TPS,StockLevel,StockLevelLatency,TPMC,Delivery,DeliveryLatency,OrderStatus,OrderStatusLatency,Payment,PaymentLatency,NewOrder,NewOrderLatency,Failed
1,8.00,0,0.00,360.00,2,984.20,0,0.00,0,0.00,6,814.47,0
2,25.00,0,0.00,330.00,14,1125.58,0,0.00,0,0.00,11,1259.43,0
3,21.00,0,0.00,180.00,12,1277.32,0,0.00,0,0.00,9,1183.54,0
4,20.00,0,0.00,210.00,6,1261.68,0,0.00,0,0.00,14,1138.29,0
5,23.00,0,0.00,144.00,11,1061.65,0,0.00,0,0.00,12,860.30,0
6,15.00,0,0.00,60.00,9,1179.49,0,0.00,0,0.00,6,1090.03,0
7,12.00,0,0.00,85.71,2,1383.33,0,0.00,0,0.00,10,1553.21,0
8,16.00,0,0.00,60.00,8,1192.12,0,0.00,0,0.00,8,1157.64,0
9,15.00,0,0.00,53.33,7,1117.03,0,0.00,0,0.00,8,1062.79,0
10,15.00,0,0.00,60.00,5,1105.23,0,0.00,0,0.00,10,932.86,0
11,14.00,0,0.00,38.18,7,1134.44,0,0.00,0,0.00,7,1165.50,0
12,15.00,0,0.00,50.00,5,886.79,0,0.00,0,0.00,10,992.08,0
13,8.00,0,0.00,27.69,2,849.95,0,0.00,0,0.00,6,1087.51,0
14,6.00,0,0.00,17.14,2,978.70,0,0.00,0,0.00,4,955.77,0
15,8.00,0,0.00,20.00,3,983.88,0,0.00,0,0.00,5,949.45,0
16,5.00,0,0.00,7.50,3,849.00,0,0.00,0,0.00,2,819.17,0
17,6.00,0,0.00,10.59,3,935.73,0,0.00,0,0.00,3,963.36,0
18,6.00,0,0.00,16.67,1,755.18,0,0.00,0,0.00,5,642.28,0
19,7.00,0,0.00,15.79,2,855.70,0,0.00,0,0.00,5,906.77,0
20,5.00,0,0.00,3.00,4,960.97,0,0.00,0,0.00,1,1064.00,0
