Time,TPS,StockLevel,StockLevelLatency,TPMC,Delivery,DeliveryLatency,OrderStatus,OrderStatusLatency,Payment,PaymentLatency,NewOrder,NewOrderLatency,Failed
1,13.00,0,0.00,540.00,4,731.59,0,0.00,0,0.00,9,817.89,0
2,13.00,0,0.00,180.00,7,741.06,0,0.00,0,0.00,6,827.39,0
3,17.00,0,0.00,180.00,8,666.94,0,0.00,0,0.00,9,602.86,0
4,15.00,0,0.00,165.00,4,631.76,0,0.00,0,0.00,11,650.18,0
5,17.00,0,0.00,96.00,9,930.66,0,0.00,0,0.00,8,597.90,0
6,10.00,0,0.00,30.00,7,642.79,0,0.00,0,0.00,3,393.68,0
7,14.00,0,0.00,51.43,8,745.72,0,0.00,0,0.00,6,423.87,0
8,11.00,0,0.00,30.00,7,551.02,0,0.00,0,0.00,4,538.69,0
9,6.00,0,0.00,20.00,3,612.95,0,0.00,0,0.00,3,807.50,0
10,7.00,0,0.00,18.00,4,541.96,0,0.00,0,0.00,3,738.29,0
11,6.00,0,0.00,21.82,2,456.83,0,0.00,0,0.00,4,821.84,0
12,10.00,0,0.00,35.00,3,491.66,0,0.00,0,0.00,7,492.32,0
13,6.00,0,0.00,9.23,4,573.33,0,0.00,0,0.00,2,665.21,0
14,9.00,0,0.00,25.71,3,467.85,0,0.00,0,0.00,6,672.85,0
15,6.00,0,0.00,12.00,3,484.84,0,0.00,0,0.00,3,608.37,0
16,6.00,0,0.00,18.75,1,503.53,0,0.00,0,0.00,5,681.95,0
17,9.00,0,0.00,17.65,4,512.93,0,0.00,0,0.00,5,580.74,0
18,7.00,0,0.00,20.00,1,480.95,0,0.00,0,0.00,6,696.54,0
19,8.00,0,0.00,12.63,4,556.97,0,0.00,0,0.00,4,313.96,0
20,7.00,0,0.00,15.00,2,498.01,0,0.00,0,0.00,5,565.64,0
21,7.00,0,0.00,8.57,4,489.14,0,0.00,0,0.00,3,525.76,0
22,7.00,0,0.00,10.91,3,502.47,0,0.00,0,0.00,4,298.92,0
23,7.00,0,0.00,7.83,4,485.22,0,0.00,0,0.00,3,131.24,0
24,5.00,0,0.00,5.00,3,538.44,0,0.00,0,0.00,2,354.97,0
25,2.00,0,0.00,0.00,2,428.45,0,0.00,0,0.00,0,0.00,0
26,3.00,0,0.00,4.62,1,474.80,0,0.00,0,0.00,2,406.68,0
27,2.00,0,0.00,2.22,1,482.74,0,0.00,0,0.00,1,290.57,0
28,4.00,0,0.00,4.29,2,473.24,0,0.00,0,0.00,2,161.73,0
